department,job_level,country,I would recommend this company as a great place to work.,I feel motivated to do my best every day.,I see myself still working here in two years.,My work gives me a sense of personal accomplishment.,I trust the decisions made by senior leadership.,Leaders communicate a clear vision for the future.,I feel well-informed about what is going on.,Senior leaders are visible and approachable.,Leadership lives the values of the company.,My manager treats me with respect.,My manager gives me regular and useful feedback.,My manager supports my professional development.,My manager communicates clearly and effectively.,My manager motivates me to do my best work.,My team works well together.,I feel supported by my colleagues.,There is a strong sense of trust within my team.,People on my team help each other succeed.,I feel like I belong on my team.,I have the tools and resources I need.,I understand what is expected of me.,I can make decisions that affect my work.,I have the autonomy I need to be effective.,I can be myself at work without fear.,I have access to learning and development opportunities.,I am satisfied with the career opportunities available.,My development is a priority for my manager.,I am encouraged to develop new skills.,I have a clear understanding of how to progress.,I feel valued for the work I do.,I receive recognition when I do good work.,My contributions are acknowledged by my manager.,I maintain a healthy work-life balance.,My workload is manageable.,The company cares about my wellbeing.,I feel comfortable taking time off.,I can talk openly about stress or mental health.,I feel treated fairly regardless of background.,Diverse perspectives are valued in my team.,I feel a sense of belonging.,The company fosters an inclusive environment.,The company adapts quickly to change.,I’m comfortable with the pace of change.,Innovation is encouraged.,We can respond to future challenges.,Communication across departments is effective.,I know where to find needed information.,Feedback from employees is taken seriously.,Internal communications are clear and timely.,I am fairly compensated.,The benefits meet my needs.,My pay reflects my performance.,People here act with integrity.,The company lives its values.,performance_24,tenure_years,leaving_date,employee_status,Benchmark: I am proud to work for this company.,Benchmark: I would recommend this company as a great place to work.,Benchmark: I feel motivated to do my best every day.,Benchmark: I see myself still working here in two years.,Benchmark: My work gives me a sense of personal accomplishment.,Benchmark: I trust the decisions made by senior leadership.,Benchmark: Leaders communicate a clear vision for the future.,Benchmark: I feel well-informed about what is going on.,Benchmark: Senior leaders are visible and approachable.,Benchmark: Leadership lives the values of the company.,Benchmark: My manager treats me with respect.,Benchmark: My manager gives me regular and useful feedback.,Benchmark: My manager supports my professional development.,Benchmark: My manager communicates clearly and effectively.,Benchmark: My manager motivates me to do my best work.,Benchmark: My team works well together.,Benchmark: I feel supported by my colleagues.,Benchmark: There is a strong sense of trust within my team.,Benchmark: People on my team help each other succeed.,Benchmark: I feel like I belong on my team.,Benchmark: I have the tools and resources I need.,Benchmark: I understand what is expected of me.,Benchmark: I can make decisions that affect my work.,Benchmark: I have the autonomy I need to be effective.,Benchmark: I can be myself at work without fear.,Benchmark: I have access to learning and development opportunities.,Benchmark: I am satisfied with the career opportunities available.,Benchmark: My development is a priority for my manager.,Benchmark: I am encouraged to develop new skills.,Benchmark: I have a clear understanding of how to progress.,Benchmark: I feel valued for the work I do.,Benchmark: I receive recognition when I do good work.,Benchmark: My contributions are acknowledged by my manager.,Benchmark: I maintain a healthy work-life balance.,Benchmark: My workload is manageable.,Benchmark: The company cares about my wellbeing.,Benchmark: I feel comfortable taking time off.,Benchmark: I can talk openly about stress or mental health.,Benchmark: I feel treated fairly regardless of background.,Benchmark: Diverse perspectives are valued in my team.,Benchmark: I feel a sense of belonging.,Benchmark: The company fosters an inclusive environment.,Benchmark: The company adapts quickly to change.,Benchmark: I’m comfortable with the pace of change.,Benchmark: Innovation is encouraged.,Benchmark: We can respond to future challenges.,Benchmark: Communication across departments is effective.,Benchmark: I know where to find needed information.,Benchmark: Feedback from employees is taken seriously.,Benchmark: Internal communications are clear and timely.,Benchmark: I am fairly compensated.,Benchmark: The benefits meet my needs.,Benchmark: My pay reflects my performance.,Benchmark: People here act with integrity.,Benchmark: The company lives its values.,survey_id
Customer Service,Specialist/ Supervisor,Germany,6,5,6,5,4,4,5,4,4,6,5,5,5,5,6,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,6,4,5,5,5,5,4,5,5,6,5,5,5,5,4,4,5,5,5,5,5,5,5,4,2,5.1,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,iSpHeZ6MDL
R&D,Director/ Head of,Germany,6,6,6,6,5,5,5,5,5,6,6,6,6,5,6,6,6,6,5,5,6,5,5,5,6,6,5,6,6,6,5,6,5,5,5,5,5,5,6,6,5,5,6,5,5,4,5,5,5,5,5,6,5,5,5,1.5,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,2g4KjFYyVh
Sales,Manager/ Senior Specialist,Germany,5,5,6,6,4,4,5,5,5,5,5,5,5,6,6,5,4,6,5,4,5,4,5,5,5,5,5,5,4,5,6,4,4,5,5,5,5,5,5,6,5,4,5,5,6,4,5,5,4,4,6,5,6,5,3,1.4,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,VwEdOphFL0
Production,Entry Level/ Manual,Czechia,6,6,6,5,5,5,5,4,4,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,5,5,6,5,5,6,6,6,5,6,4,4,4,5,5,5,6,5,5,6,5,4,2.7,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,cejfmsmWga
Sales,Manager/ Senior Specialist,Netherlands,4,5,5,5,4,4,5,5,4,5,5,5,4,5,4,5,5,4,5,4,4,5,4,5,4,4,4,5,5,5,5,4,4,4,4,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,4,2.1,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,uXobaKNZXK
Production,Entry Level/ Manual,Czechia,5,5,6,5,4,5,5,5,4,5,4,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4,5,4,4,4,4,5,5,4,4,5,5,5,4,5,5,5,4,4,5,4,4,4,4,5,5,3,4.7,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,f3l9VBWHDj
R&D,Manager/ Senior Specialist,Czechia,6,6,6,5,5,5,5,4,5,6,6,5,5,5,6,5,5,5,6,5,6,5,5,5,6,6,5,5,5,6,5,5,5,5,5,6,5,5,5,6,6,5,5,6,5,5,5,6,5,6,5,5,6,6,3,5,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,dzF9WZ8zaN
Production,Entry Level/ Manual,Czechia,6,6,6,5,6,4,4,5,5,6,5,5,4,5,6,6,5,5,5,5,5,5,5,5,5,6,6,6,5,5,6,5,5,5,5,5,5,5,6,6,5,5,6,6,4,4,5,5,4,5,5,5,6,5,4,14.1,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,lgzdoOftgA
Production,Entry Level/ Manual,Germany,5,5,5,6,4,4,5,4,4,4,5,5,4,4,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,4,5,5,4,4,4,4,5,5,5,4,5,5,5,5,4,4,4,4,4,5,4,5,5,4,2.5,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,GHsBqJ1WT3
Production,Entry Level/ Manual,Germany,6,6,6,6,4,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,6,5,6,5,6,5,5,6,5,5,6,5,5,4,5,5,5,4,6,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,2.4,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,J2XsWsr6wa
Production,Entry Level/ Manual,Czechia,5,5,5,5,4,5,5,4,4,5,4,5,4,4,5,5,4,5,4,4,5,4,5,4,5,4,4,5,4,5,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,2,2.8,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,274kFteZSO
Sales,Specialist/ Supervisor,Italy,5,4,5,5,5,4,5,4,4,5,4,5,4,4,5,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,5,4,4,5,4,4,4,5,4,5,4,5,5,4,4,4,5,4,4,5,4,5,5,3,4,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,AoQaGYxptg
Production,Specialist/ Supervisor,Czechia,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,6,6,5,7.6,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,TPDWnPQgDV
Production,Entry Level/ Manual,Czechia,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,5,6,5,6,5,5,6,5,6,6,5,5,6,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,4,6,5,6,5,4,2.1,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,hpZ5jEBilP
Sales,Entry Level/ Manual,Germany,5,6,5,5,5,4,5,4,4,6,5,5,5,5,6,6,5,5,6,4,5,4,5,5,5,5,5,6,4,5,5,6,5,4,5,4,4,5,5,6,5,5,5,5,4,4,4,5,5,4,4,5,6,5,4,1.2,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,qn9lpVJ3eT
Production,Entry Level/ Manual,Germany,6,6,6,5,5,5,5,4,5,6,6,6,5,6,5,6,6,6,6,5,5,4,5,5,6,5,5,6,5,5,5,5,5,6,5,5,4,5,5,6,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5.2,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,r07TeJ0AUC
Customer Service,Specialist/ Supervisor,Germany,5,5,5,5,5,5,4,4,4,5,5,6,4,4,5,5,5,4,6,4,5,4,5,5,5,5,5,5,5,4,5,5,4,5,6,5,4,5,5,6,5,5,5,5,5,4,4,4,3,4,5,5,6,4,4,1.4,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,CtsndjKUyq
Production,Entry Level/ Manual,Czechia,5,5,5,5,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,6,5,5,6,6,5,5,5,4,4,5,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5.2,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,olT30wHvdx
Sales,Manager/ Senior Specialist,France,6,6,6,5,4,5,4,4,5,6,5,5,5,5,5,5,5,5,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,6,5,5,4.3,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,zJKJIZsHRj
Sales,Specialist/ Supervisor,Germany,7,6,6,5,5,6,5,5,5,6,6,6,6,5,6,6,6,6,6,5,6,4,5,5,6,6,5,5,6,5,6,6,5,5,5,5,5,6,5,6,6,5,6,6,6,6,5,5,5,6,5,5,6,5,4,2.9,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,HvSG6cq4Mi
Production,Entry Level/ Manual,Germany,6,5,6,5,5,5,4,5,5,6,6,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,6,5,4,5,6,6,4,5,5,5,5,4,5,5,5,5,5,5,6,4,4,11.1,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,p6BnOUGaiU
Production,Entry Level/ Manual,Germany,4,5,5,5,3,4,4,4,4,5,5,4,4,4,5,4,4,4,5,4,5,4,4,4,5,4,4,5,5,5,4,5,4,4,5,4,4,5,5,5,5,5,5,5,4,4,3,5,5,4,4,5,5,5,5,4.3,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,Z5evyKDsfj
R&D,Specialist/ Supervisor,Germany,6,6,6,6,6,5,5,5,5,6,6,5,6,6,5,6,6,5,6,5,5,5,5,5,5,6,6,6,5,5,6,5,5,5,6,6,5,5,6,6,5,6,5,5,5,4,6,5,4,5,5,5,5,6,4,4.5,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,tMuqmI6Ehj
Production,Entry Level/ Manual,Czechia,5,6,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,4,6,5,5,4,4,5,4,5,5,4,4,5,4,6,5,5,4.7,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,jvxFfdKtu7
R&D,Manager/ Senior Specialist,Germany,6,6,6,6,4,5,5,5,6,6,5,5,5,5,6,6,6,5,5,5,5,5,6,5,6,5,5,5,5,6,5,6,4,5,5,5,5,5,5,6,5,6,5,6,5,4,6,6,5,5,6,5,6,5,5,7.7,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,0mun0Yj03Q
HR,Specialist/ Supervisor,Czechia,5,6,5,6,5,6,4,5,5,6,5,6,5,5,5,5,5,5,5,5,6,5,5,6,6,5,5,6,5,5,6,5,6,5,5,6,5,5,5,5,5,5,5,5,5,4,6,6,5,6,5,5,6,5,4,1.9,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,YWEhcE0kD2
Sales,Specialist/ Supervisor,France,6,6,7,5,5,5,5,4,5,6,6,6,5,5,6,5,5,5,5,5,5,4,5,6,5,5,6,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,6,5,5,5,5,5,5,5,5,6,6,3,1.2,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,G2zh1TAKgL
R&D,Specialist/ Supervisor,Germany,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5,4,5,6,6,5,5,4,5,5,5,5,5,5,5,5,6,6,5,5,6,5,4,5,5,6,5,5,5,4,4,4,5,5,5,5,5,5,6,5,5,4.4,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,ScuQmjFkod
Production,Entry Level/ Manual,Germany,6,6,6,5,5,5,5,5,5,6,5,6,6,5,6,6,5,5,6,5,5,6,5,5,5,5,6,5,6,5,5,5,5,5,6,5,5,5,5,6,5,6,5,5,5,4,5,5,4,5,5,5,6,5,4,11.5,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,lxH5sGotvT
Customer Service,Director/ Head of,Italy,6,6,6,5,5,4,5,5,6,6,5,6,5,5,4,5,6,6,5,5,5,4,4,5,5,4,4,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,6,3,1.9,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,rcbjos3lsa
Production,Specialist/ Supervisor,Czechia,5,6,6,6,5,5,5,4,5,6,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,4,5,5,5,6,5,6,5,5,5,4,5,5,5,4,5,4,6,5,3,6.6,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,o9SDV6pEoZ
Production,Entry Level/ Manual,Germany,6,6,7,6,4,6,5,4,5,5,5,6,5,5,5,6,5,5,5,5,6,5,5,4,6,6,6,5,5,6,5,6,5,5,5,6,5,5,5,6,5,6,5,5,5,5,5,5,5,6,5,5,6,5,4,2.2,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,jbeaVIunLF
Production,Specialist/ Supervisor,Czechia,5,6,6,5,5,5,5,5,4,6,4,5,5,5,5,6,4,5,6,5,6,4,6,5,5,6,5,6,5,5,5,5,5,5,5,6,5,5,5,6,5,5,5,5,5,4,5,6,5,5,6,5,5,5,5,8.9,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,9KTbaCmRoK
HR,Specialist/ Supervisor,Czechia,6,7,7,5,5,6,6,5,6,6,6,6,6,6,6,5,5,5,6,5,6,5,6,6,5,6,6,6,5,7,6,5,5,6,6,5,5,5,5,6,6,5,6,5,5,5,5,5,6,6,5,6,6,6,4,5.1,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,SansrRrEHH
